Year of American Revolution?,1776
Ancient Egyptian queen?,Cleopatra
Founder of Microsoft?,Bill Gates
Renaissance artist?,Leonardo da Vinci
Battle of Waterloo year?,1815
Ancient Roman leader?,Julius Caesar
Civil War U.S. president?,Abraham Lincoln
Inventor of the telephone?,Alexander Graham Bell
First emperor of China?,Qin Shi Huang
Year of Magna Carta?,1215
Explorer of the New World?,Christopher Columbus
Napoleon's last battle?,Waterloo
Author of "The Prince"?,Machiavelli
Ancient Greek philosopher?,Socrates
Declaration of Independence year?,1776
Leader of the Soviet Union?,Joseph Stalin
Architect of the Great Wall?,Qin Shi Huang
Inventor of the printing press?,Johannes Gutenberg
Aztec capital?,Tenochtitlán
World War II Axis leader?,Adolf Hitler
